time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
5243.76,0.182076,0.562478,0.003911,0.0000,-0.030902,0.095106,0.000000,0.0000
5249.08,0.182076,0.562478,0.003911,0.0000,-0.030902,0.095106,0.000000,0.0000
5254.55,0.181486,0.561933,0.003764,0.0000,-0.030902,0.095106,0.000000,0.0000
5259.88,0.180807,0.561235,0.003716,0.0000,-0.030902,0.095106,0.000000,0.0000
5265.24,0.180807,0.561235,0.003716,0.0000,-0.030902,0.095106,0.000000,0.0000
5270.55,0.179994,0.560382,0.003627,0.0000,-0.030902,0.095106,0.000000,0.0000
5276.05,0.179153,0.559525,0.003495,0.0000,-0.030902,0.095106,0.000000,0.0000
5281.82,0.179153,0.559525,0.003495,0.0000,-0.030902,0.095106,0.000000,0.0000
5287.30,0.178174,0.558498,0.003399,0.0000,-0.030902,0.095106,0.000000,0.0000
5292.64,0.177132,0.557459,0.003254,0.0000,-0.030902,0.095106,0.000000,0.0000
5297.97,0.177132,0.557459,0.003254,0.0000,-0.030902,0.095106,0.000000,0.0000
5303.31,0.176019,0.556298,0.003194,0.0000,-0.030902,0.095106,0.000000,0.0000
5308.62,0.174777,0.555043,0.003137,0.0000,-0.030902,0.095106,0.000000,0.0000
5313.95,0.174777,0.555043,0.003137,0.0000,-0.030902,0.095106,0.000000,0.0000
5319.52,0.173494,0.553624,0.002988,0.0000,-0.030902,0.095106,0.000000,0.0000
5324.86,0.172190,0.552200,0.002922,0.0000,-0.030902,0.095106,0.000000,0.0000
5330.18,0.172190,0.552200,0.002922,0.0000,-0.030902,0.095106,0.000000,0.0000
5335.47,0.170752,0.550628,0.002918,0.0000,-0.030902,0.095106,0.000000,0.0000
5340.80,0.170752,0.550628,0.002918,0.0000,-0.030902,0.095106,0.000000,0.0000
5346.11,0.169206,0.549028,0.002834,0.0000,-0.030902,0.095106,0.000000,0.0000
5351.44,0.167625,0.547353,0.002748,0.0000,-0.030902,0.095106,0.000000,0.0000
5356.76,0.167625,0.547353,0.002748,0.0000,-0.030902,0.095106,0.000000,0.0000
5362.10,0.165983,0.545580,0.002795,0.0000,-0.030902,0.095106,0.000000,0.0000
5367.45,0.164329,0.543674,0.002756,0.0000,-0.030902,0.095106,0.000000,0.0000
5372.76,0.164329,0.543674,0.002756,0.0000,-0.030902,0.095106,0.000000,0.0000
5378.08,0.162507,0.541697,0.002709,0.0000,-0.030902,0.095106,0.000000,0.0000
5383.70,0.160644,0.539791,0.002784,0.0000,-0.030902,0.095106,0.000000,0.0000
5389.02,0.160644,0.539791,0.002784,0.0000,-0.030902,0.095106,0.000000,0.0000
5394.30,0.158687,0.537720,0.002733,0.0000,-0.030902,0.095106,0.000000,0.0000
5399.70,0.156657,0.535490,0.002769,0.0000,-0.030902,0.095106,0.000000,0.0000
5405.03,0.156657,0.535490,0.002769,0.0000,-0.030902,0.095106,0.000000,0.0000
5410.49,0.154525,0.533249,0.002811,0.0000,-0.030902,0.095106,0.000000,0.0000
5415.80,0.154525,0.533249,0.002811,0.0000,-0.030902,0.095106,0.000000,0.0000
5421.13,0.152291,0.530960,0.002849,0.0000,-0.030902,0.095106,0.000000,0.0000
5426.42,0.150020,0.528607,0.002897,0.0000,-0.030902,0.095106,0.000000,0.0000
5431.75,0.150020,0.528607,0.002897,0.0000,-0.030902,0.095106,0.000000,0.0000
5437.30,0.147675,0.526207,0.002939,0.0000,-0.030902,0.095106,0.000000,0.0000
5442.87,0.145354,0.523683,0.002977,0.0000,-0.030902,0.095106,0.000000,0.0000
5448.18,0.145354,0.523683,0.002977,0.0000,-0.030902,0.095106,0.000000,0.0000
5453.59,0.142862,0.521233,0.003106,0.0000,-0.030902,0.095106,0.000000,0.0000
5458.92,0.140330,0.518667,0.003216,0.0000,-0.030902,0.095106,0.000000,0.0000
5464.24,0.140330,0.518667,0.003216,0.0000,-0.030902,0.095106,0.000000,0.0000
5469.67,0.137827,0.516009,0.003301,0.0000,-0.030902,0.095106,0.000000,0.0000
5474.98,0.135222,0.513336,0.003340,0.0000,-0.030902,0.095106,0.000000,0.0000
5480.30,0.135222,0.513336,0.003340,0.0000,-0.030902,0.095106,0.000000,0.0000
5486.21,0.132531,0.510615,0.003463,0.0000,-0.030902,0.095106,0.000000,0.0000
5491.55,0.129830,0.507832,0.003562,0.0000,-0.030902,0.095106,0.000000,0.0000
5496.87,0.129830,0.507832,0.003562,0.0000,-0.030902,0.095106,0.000000,0.0000
5502.25,0.127106,0.504983,0.003728,0.0000,-0.030902,0.095106,0.000000,0.0000
5507.64,0.127106,0.504983,0.003728,0.0000,-0.030902,0.095106,0.000000,0.0000
5512.95,0.124280,0.502228,0.003902,0.0000,-0.030902,0.095106,0.000000,0.0000
5518.48,0.121395,0.499360,0.004063,0.0000,-0.030902,0.095106,0.000000,0.0000
5523.83,0.121395,0.499360,0.004063,0.0000,-0.030902,0.095106,0.000000,0.0000
5529.15,0.118536,0.496493,0.004232,0.0000,-0.030902,0.095106,0.000000,0.0000
5534.47,0.115630,0.493513,0.004410,0.0000,-0.030902,0.095106,0.000000,0.0000
5539.85,0.115630,0.493513,0.004410,0.0000,-0.030902,0.095106,0.000000,0.0000
5545.18,0.112747,0.490533,0.004551,0.0000,-0.030902,0.095106,0.000000,0.0000
5550.50,0.109834,0.487621,0.004783,0.0000,-0.030902,0.095106,0.000000,0.0000
5555.84,0.109834,0.487621,0.004783,0.0000,-0.030902,0.095106,0.000000,0.0000
5561.36,0.106850,0.484695,0.004970,0.0000,-0.030902,0.095106,0.000000,0.0000
5566.69,0.103926,0.481744,0.005099,0.0000,-0.030902,0.095106,0.000000,0.0000
5572.01,0.103926,0.481744,0.005099,0.0000,-0.030902,0.095106,0.000000,0.0000
5577.30,0.100950,0.478677,0.005316,0.0000,-0.030902,0.095106,0.000000,0.0000
5582.67,0.100950,0.478677,0.005316,0.0000,-0.030902,0.095106,0.000000,0.0000
5587.74,0.097918,0.475681,0.005423,0.0000,-0.030902,0.095106,0.000000,0.0000
5593.10,0.095055,0.472683,0.005549,0.0000,-0.030902,0.095106,0.000000,0.0000
5598.42,0.095055,0.472683,0.005549,0.0000,-0.030902,0.095106,0.000000,0.0000
5604.00,0.092075,0.469608,0.005759,0.0000,-0.030902,0.095106,0.000000,0.0000
5609.73,0.089042,0.466601,0.005990,0.0000,-0.030902,0.095106,0.000000,0.0000
5615.07,0.089042,0.466601,0.005990,0.0000,-0.030902,0.095106,0.000000,0.0000
5620.41,0.085963,0.463515,0.006187,0.0000,-0.030902,0.095106,0.000000,0.0000
5626.03,0.082957,0.460479,0.006297,0.0000,-0.030902,0.095106,0.000000,0.0000
5631.36,0.082957,0.460479,0.006297,0.0000,-0.030902,0.095106,0.000000,0.0000
5636.70,0.079987,0.457564,0.006561,0.0000,-0.030902,0.095106,0.000000,0.0000
5642.10,0.079987,0.457564,0.006561,0.0000,-0.030902,0.095106,0.000000,0.0000
5647.60,0.076986,0.454544,0.006765,0.0000,-0.030902,0.095106,0.000000,0.0000
5653.19,0.074097,0.451583,0.006959,0.0000,-0.030902,0.095106,0.000000,0.0000
5658.67,0.071116,0.448584,0.007130,0.0000,-0.030902,0.095106,0.000000,0.0000
5664.15,0.071116,0.448584,0.007130,0.0000,-0.030902,0.095106,0.000000,0.0000
5669.71,0.068243,0.445683,0.007268,0.0000,-0.030902,0.095106,0.000000,0.0000
5675.10,0.065408,0.442715,0.007418,0.0000,-0.030902,0.095106,0.000000,0.0000
5680.54,0.065408,0.442715,0.007418,0.0000,-0.030902,0.095106,0.000000,0.0000
5686.00,0.062580,0.439839,0.007491,0.0000,-0.030902,0.095106,0.000000,0.0000
5692.03,0.059729,0.437031,0.007674,0.0000,-0.030902,0.095106,0.000000,0.0000
